Sid,9.77976000,payment-1.txt,a11f399,2023-04-26 06:02:39.424687
Racket,3.13866000,payment-1.txt,a11f399,2023-04-26 06:02:39.424691
(Michael Sid),2.8059000,payment-1.txt,a11f399,2023-04-26 06:02:39.424692
Ben,1.79916000,payment-1.txt,a11f399,2023-04-26 06:02:39.424693
Noah,1.19286000,payment-1.txt,a11f399,2023-04-26 06:02:39.424694
typed-stack,0.91086000,payment-1.txt,a11f399,2023-04-26 06:02:39.424695
Stephen,0.84882000,payment-1.txt,a11f399,2023-04-26 06:02:39.424696
adjutor,0.68244000,payment-1.txt,a11f399,2023-04-26 06:02:39.424699
mischief,0.68244000,payment-1.txt,a11f399,2023-04-26 06:02:39.424701
Jay,0.56964000,payment-1.txt,a11f399,2023-04-26 06:02:39.424701
Michael,0.50196000,payment-1.txt,a11f399,2023-04-26 06:02:39.424702
rackunit,0.38916000,payment-1.txt,a11f399,2023-04-26 06:02:39.424703
(Ben Sid),0.29328000,payment-1.txt,a11f399,2023-04-26 06:02:39.424703
Cassie,0.2679000,payment-1.txt,a11f399,2023-04-26 06:02:39.424704
Sam,0.24534000,payment-1.txt,a11f399,2023-04-26 06:02:39.424705
Kasivajhula 2014-,0.23406000,payment-1.txt,a11f399,2023-04-26 06:02:39.424705
Sergiu,0.21996000,payment-1.txt,a11f399,2023-04-26 06:02:39.424706
greg-racket-makefile,0.19458000,payment-1.txt,a11f399,2023-04-26 06:02:39.424707
Laurent,0.17484000,payment-1.txt,a11f399,2023-04-26 06:02:39.424707
Nia,0.16638000,payment-1.txt,a11f399,2023-04-26 06:02:39.424708
metapict,0.16356000,payment-1.txt,a11f399,2023-04-26 06:02:39.424709
cover,0.16356000,payment-1.txt,a11f399,2023-04-26 06:02:39.424709
Haskell,0.15792000,payment-1.txt,a11f399,2023-04-26 06:02:39.424710
Scheme,0.15792000,payment-1.txt,a11f399,2023-04-26 06:02:39.424710
Bogdan,0.14664000,payment-1.txt,a11f399,2023-04-26 06:02:39.424711
racket-collections,0.12972000,payment-1.txt,a11f399,2023-04-26 06:02:39.424711
cover-coveralls,0.12972000,payment-1.txt,a11f399,2023-04-26 06:02:39.424712
relation,0.12972000,payment-1.txt,a11f399,2023-04-26 06:02:39.424712
(Jesse William),0.12126000,payment-1.txt,a11f399,2023-04-26 06:02:39.424713
APL,0.12126000,payment-1.txt,a11f399,2023-04-26 06:02:39.424714
Anonymous,0.11844000,payment-1.txt,a11f399,2023-04-26 06:02:39.424714
Threading macro,0.11844000,payment-1.txt,a11f399,2023-04-26 06:02:39.424715
pipeR,0.11844000,payment-1.txt,a11f399,2023-04-26 06:02:39.424715
Clojure,0.10998000,payment-1.txt,a11f399,2023-04-26 06:02:39.424716
Rash,0.0987000,payment-1.txt,a11f399,2023-04-26 06:02:39.424716
Lisp,0.0987000,payment-1.txt,a11f399,2023-04-26 06:02:39.424717
Symex,0.07614000,payment-1.txt,a11f399,2023-04-26 06:02:39.424718
Debug,0.06486000,payment-1.txt,a11f399,2023-04-26 06:02:39.424718
Soegaard,0.06486000,payment-1.txt,a11f399,2023-04-26 06:02:39.424719
1e1001,0.06204000,payment-1.txt,a11f399,2023-04-26 06:02:39.424719
Scratch (MIT),0.06204000,payment-1.txt,a11f399,2023-04-26 06:02:39.424720
VHDL,0.05922000,payment-1.txt,a11f399,2023-04-26 06:02:39.424720
Verilog,0.05922000,payment-1.txt,a11f399,2023-04-26 06:02:39.424721
Hsiao-Peng et. al. 1999,0.05922000,payment-1.txt,a11f399,2023-04-26 06:02:39.424721
jo-sm,0.05922000,payment-1.txt,a11f399,2023-04-26 06:02:39.424722
Unix pipelines,0.05922000,payment-1.txt,a11f399,2023-04-26 06:02:39.424722
Scala,0.05922000,payment-1.txt,a11f399,2023-04-26 06:02:39.424723
Erlang,0.05922000,payment-1.txt,a11f399,2023-04-26 06:02:39.424723
Ballantyne et al 2020,0.04794000,payment-1.txt,a11f399,2023-04-26 06:02:39.424724
(Sorawee Jack),0.04512000,payment-1.txt,a11f399,2023-04-26 06:02:39.424724
Sarna,0.0423000,payment-1.txt,a11f399,2023-04-26 06:02:39.424725
ML,0.03948000,payment-1.txt,a11f399,2023-04-26 06:02:39.424726
Hughes 2000,0.03666000,payment-1.txt,a11f399,2023-04-26 06:02:39.424726
Vim,0.03666000,payment-1.txt,a11f399,2023-04-26 06:02:39.424727
Python,0.01128000,payment-1.txt,a11f399,2023-04-26 06:02:39.424727
Ruby,0.0141000,payment-1.txt,a11f399,2023-04-26 06:02:39.424728
DIA,1.50000,payment-1.txt,a11f399,2023-04-26 06:02:39.424728
Old Abe,0.30000,payment-1.txt,a11f399,2023-04-26 06:02:39.424729
